Period,Mean_Return,Variance,Target_Return
17,0.0126622,0.0365275,0.04
18,-0.0241767,0.130326,0.04
19,-0.112561,0.221008,0.04
20,-0.0133436,0.108403,0.04
21,0.0308936,0.249461,0.04
22,-0.0201964,0.0359707,0.04
23,-0.0884188,0.035003,0.04
24,-0.018995,0.0264501,0.04
25,-0.00443078,0.0242201,0.04
26,0.00929605,0.0151124,0.04
27,-0.0330765,0.0156211,0.04
28,-0.044515,0.00706984,0.04
29,0.00702702,0.00654022,0.04
30,-0.039911,0.0130144,0.04
31,0.00807723,0.0291483,0.04
32,-0.0703013,0.0581436,0.04
33,0.0642913,0.0172985,0.04
34,0.0402792,0.029167,0.04
35,0.0453593,0.00903208,0.04
36,-0.0311577,0.00610758,0.04
37,0.00251653,0.00893588,0.04
38,0.0401477,0.0213298,0.04
39,-0.029229,0.0276974,0.04
40,0.00946385,0.0139078,0.04
41,0.0394551,0.00877218,0.04
42,0.0803752,0.00832822,0.04
43,0.0127357,0.0275802,0.04
44,-0.00559233,0.0136273,0.04
45,0.0307249,0.0146405,0.04
46,0.0320735,0.011507,0.04
47,-0.0848786,0.0258671,0.04
48,0.00946083,0.0162978,0.04
49,0.0192591,0.0310934,0.04
50,0.0338067,0.0266642,0.04

1,0.0654678,0.0137342,0.045
2,-0.0122977,0.0120913,0.045
3,-0.0107974,0.00624039,0.045
4,0.01176,0.0187794,0.045
5,0.0794311,0.0217924,0.045
6,0.0587413,0.0337865,0.045
7,-0.00844389,0.0193244,0.045
8,-0.00196838,0.0483805,0.045
9,-0.0333367,0.0268462,0.045
10,-0.00909719,0.0246242,0.045
11,0.0865801,0.0545761,0.045
12,0.00130568,0.074865,0.045
13,-0.0578843,0.02968,0.045
14,0.0456492,0.0293044,0.045
15,0.0544948,0.0332941,0.045
16,0.022599,0.0225926,0.045
17,0.0129253,0.0459147,0.045
18,-0.0290226,0.166622,0.045
19,-0.128261,0.278836,0.045
20,-0.0155933,0.129149,0.045
21,0.0430188,0.324607,0.045
22,-0.0230543,0.0456783,0.045
23,-0.100399,0.0444953,0.045
24,-0.021896,0.0329307,0.045
25,-0.00453784,0.0313797,0.045
26,0.0102203,0.0185365,0.045
27,-0.0366728,0.0197287,0.045
28,-0.0492846,0.0087977,0.045
29,0.00808523,0.00870591,0.045
30,-0.0457776,0.0163129,0.045
31,0.00824699,0.0363549,0.045
32,-0.0786705,0.0729032,0.045
33,0.0732833,0.0217904,0.045
34,0.0456522,0.0361353,0.045
35,0.0505931,0.0109124,0.045
36,-0.0355313,0.00781145,0.045
37,0.00392889,0.0112922,0.045
38,0.0452735,0.0279325,0.045
39,-0.0312114,0.0349721,0.045
40,0.00968371,0.0175327,0.045
41,0.0441775,0.010947,0.045
42,0.0897596,0.0106519,0.045
43,0.0153278,0.0345004,0.045
44,-0.00732273,0.0172706,0.045
45,0.0344529,0.0184412,0.045
46,0.0362507,0.0143947,0.045
47,-0.0962088,0.032968,0.045
48,0.010133,0.020632,0.045
49,0.0217867,0.0394573,0.045
50,0.0370711,0.0331025,0.045

1,0.0729203,0.0172054,0.05
2,-0.0142016,0.0161958,0.05
3,-0.013266,0.00822237,0.05
4,0.0127402,0.023806,0.05
5,0.0875052,0.0271033,0.05
6,0.068195,0.0395089,0.05
7,-0.00883392,0.024323,0.05
8,-0.0025347,0.0592151,0.05
9,-0.0388278,0.0340944,0.05
10,-0.0107155,0.030164,0.05
11,0.096226,0.0679193,0.05
12,0.00257045,0.0933351,0.05
13,-0.0669633,0.0363528,0.05
14,0.0514149,0.0354268,0.05
15,0.0599108,0.040765,0.05
16,0.0236308,0.0287041,0.05
17,0.0135975,0.0565019,0.05
18,-0.033795,0.205588,0.05
19,-0.143547,0.330635,0.05
20,-0.011148,0.164001,0.05
21,0.0575413,0.413919,0.05
22,-0.0256336,0.0571571,0.05
23,-0.11264,0.0553595,0.05
24,-0.0241203,0.0396587,0.05
25,-0.00437405,0.0392562,0.05
26,0.011256,0.022341,0.05
27,-0.0397323,0.0235587,0.05
28,-0.0542637,0.0107756,0.05
29,0.00891126,0.0111397,0.05
30,-0.0516416,0.0200092,0.05
31,0.00784257,0.0459825,0.05
32,-0.0872623,0.0891321,0.05
33,0.0820169,0.026529,0.05
34,0.0515122,0.0436883,0.05
35,0.055837,0.013015,0.05
36,-0.0397821,0.00972784,0.05
37,0.00533727,0.0139318,0.05
38,0.0502798,0.0346362,0.05
39,-0.0349154,0.0427851,0.05
40,0.0101202,0.021462,0.05
41,0.0527019,0.0139884,0.05
42,0.0993181,0.0132464,0.05
43,0.0159323,0.0424624,0.05
